,Week,tesla
0,2/22/15,10
1,3/1/15,9
2,3/8/15,9
3,3/15/15,12
4,3/22/15,9
5,3/29/15,11
6,4/5/15,12
7,4/12/15,10
8,4/19/15,10
9,4/26/15,18
10,5/3/15,18
11,5/10/15,13
12,5/17/15,11
13,5/24/15,11
14,5/31/15,10
15,6/7/15,11
16,6/14/15,11
17,6/21/15,11
18,6/28/15,11
19,7/5/15,11
20,7/12/15,12
21,7/19/15,13
22,7/26/15,12
23,8/2/15,13
24,8/9/15,12
25,8/16/15,12
26,8/23/15,14
27,8/30/15,15
28,9/6/15,12
29,9/13/15,12
30,9/20/15,12
31,9/27/15,20
32,10/4/15,13
33,10/11/15,14
34,10/18/15,14
35,10/25/15,11
36,11/1/15,11
37,11/8/15,10
38,11/15/15,10
39,11/22/15,11
40,11/29/15,10
41,12/6/15,10
42,12/13/15,9
43,12/20/15,10
44,12/27/15,11
