,Week,tesla
202,1/6/19,20
203,1/13/19,21
204,1/20/19,20
205,1/27/19,20
206,2/3/19,19
207,2/10/19,19
208,2/17/19,19
209,2/24/19,30
210,3/3/19,28
211,3/10/19,34
212,3/17/19,28
213,3/24/19,24
214,3/31/19,25
215,4/7/19,24
216,4/14/19,22
217,4/21/19,31
218,4/28/19,26
219,5/5/19,25
220,5/12/19,25
221,5/19/19,28
222,5/26/19,26
223,6/2/19,30
224,6/9/19,27
225,6/16/19,26
226,6/23/19,26
227,6/30/19,25
228,7/7/19,24
229,7/14/19,25
230,7/21/19,28
231,7/28/19,24
232,8/4/19,23
233,8/11/19,24
234,8/18/19,24
235,8/25/19,22
236,9/1/19,21
237,9/8/19,23
238,9/15/19,23
239,9/22/19,25
240,9/29/19,26
241,10/6/19,24
242,10/13/19,24
243,10/20/19,29
244,10/27/19,25
245,11/3/19,24
246,11/10/19,24
247,11/17/19,100
248,11/24/19,90
249,12/1/19,34
250,12/8/19,29
251,12/15/19,29
252,12/22/19,34
253,12/29/19,30
