,Week,tesla
150,1/7/18,18
151,1/14/18,18
152,1/21/18,19
153,1/28/18,18
154,2/4/18,37
155,2/11/18,22
156,2/18/18,18
157,2/25/18,17
158,3/4/18,17
159,3/11/18,16
160,3/18/18,17
161,3/25/18,24
162,4/1/18,22
163,4/8/18,18
164,4/15/18,19
165,4/22/18,17
166,4/29/18,21
167,5/6/18,21
168,5/13/18,20
169,5/20/18,20
170,5/27/18,18
171,6/3/18,18
172,6/10/18,20
173,6/17/18,19
174,6/24/18,20
175,7/1/18,21
176,7/8/18,20
177,7/15/18,20
178,7/22/18,21
179,7/29/18,24
180,8/5/18,28
181,8/12/18,24
182,8/19/18,23
183,8/26/18,20
184,9/2/18,26
185,9/9/18,26
186,9/16/18,22
187,9/23/18,26
188,9/30/18,29
189,10/7/18,23
190,10/14/18,23
191,10/21/18,26
192,10/28/18,21
193,11/4/18,19
194,11/11/18,19
195,11/18/18,19
196,11/25/18,19
197,12/2/18,19
198,12/9/18,21
199,12/16/18,22
200,12/23/18,24
201,12/30/18,23
